,precision,recall,f1-score,support
calling,0.7482014388489209,0.7591240875912408,0.7536231884057971,137.0
clapping,0.8571428571428571,0.8333333333333334,0.8450704225352113,108.0
cycling,0.944,0.9752066115702479,0.959349593495935,121.0
dancing,0.8333333333333334,0.8273381294964028,0.8303249097472925,139.0
drinking,0.8,0.7796610169491526,0.7896995708154506,118.0
eating,0.875,0.9083969465648855,0.8913857677902621,131.0
fighting,0.8770491803278688,0.84251968503937,0.8594377510040161,127.0
hugging,0.875,0.8686131386861314,0.8717948717948718,137.0
laughing,0.7692307692307693,0.8547008547008547,0.8097165991902834,117.0
listening_to_music,0.7520661157024794,0.7583333333333333,0.7551867219917012,120.0
running,0.9307692307692308,0.8897058823529411,0.9097744360902256,136.0
sitting,0.765625,0.8166666666666667,0.7903225806451613,120.0
sleeping,0.88,0.859375,0.8695652173913043,128.0
texting,0.6890756302521008,0.656,0.6721311475409836,125.0
using_laptop,0.859504132231405,0.8253968253968254,0.8421052631578947,126.0
accuracy,0.8306878306878307,0.8306878306878307,0.8306878306878307,0.8306878306878307
macro avg,0.8303998458559311,0.8302914341120924,0.8299658694397595,1890.0
weighted avg,0.8313212320848073,0.8306878306878307,0.8306372003280401,1890.0
