epoch,train_loss,train_acc,val_loss,val_acc
1,1.8667298656472273,0.505019576080136,1.3066519222562276,0.716931216931217
2,1.4529985124562061,0.673670279499772,1.2045892913505514,0.7534391534391535
3,1.315652303630803,0.7318399589260915,1.1382334227284427,0.7788359788359789
4,1.2402163560968948,0.7645149848949081,1.1216869066631983,0.7888888888888889
5,1.1752136662974109,0.7871234163288732,1.1375373691478103,0.7814814814814814
6,1.1432803869788069,0.8014041267116027,1.1305566988294087,0.7904761904761904
7,1.0673046282900163,0.8327628266526843,1.1285468993363557,0.7931216931216931
8,1.0497898398883758,0.8406622907584622,1.0927539349863769,0.791005291005291
9,1.0689303592759736,0.8340242884124136,1.1060981843837354,0.7962962962962963
10,1.0292192157433957,0.8468955234922942,1.1173236667794526,0.7894179894179895
11,1.0407373439968308,0.8436644836394589,1.123684269915182,0.7931216931216931
12,0.9868049783230909,0.8647231029950548,1.1103718126892412,0.7888888888888889
13,0.9647482347326214,0.8752988310662223,1.0605777153893123,0.8063492063492064
14,1.0067691420751905,0.8582759111663516,1.0620124826986324,0.8105820105820106
15,0.9573964037051818,0.877335253719217,1.0471144994099935,0.807936507936508
16,0.9378142276318435,0.888327798693039,1.0425635597693226,0.8068783068783069
17,0.8569517010463878,0.912092936670432,1.036457464934657,0.8164021164021164
18,0.9143191726840272,0.89316702971053,1.04308169569288,0.8164021164021164
19,0.9663825503822897,0.8737130668480518,1.0470640518047192,0.8142857142857143
20,1.0209469792794208,0.8564389541966545,1.0421464576923027,0.8116402116402116
21,0.9562039720228199,0.8774600081504881,1.0397618329083478,0.8164021164021164
22,0.9311556050025958,0.8863807145817835,1.0454282982639536,0.8153439153439154
23,0.9832303124760825,0.8718455235199003,1.0360716723891161,0.8148148148148148
24,0.9502122304877456,0.8819039410093132,1.033687695498189,0.819047619047619
25,0.9635904129400275,0.8744465364963679,1.043969828111154,0.8174603174603174
